"","start_hour","Offense.Parent.Group","n_starts","start_norm","n_reports","report_norm"
"1","01","ANIMAL CRUELTY",7,0.25,7,0.411764705882353
"2","01","ARSON",142,0.679425837320574,181,1
"3","01","ASSAULT OFFENSES",13725,0.758580666556127,14620,1
"4","01","BAD CHECKS",426,0.163155878973573,715,0.958445040214477
"5","01","BRIBERY",1,0.333333333333333,2,0.666666666666667
"6","01","BURGLARY/BREAKING&ENTERING",7543,0.459826871494757,10257,0.909227905327542
"7","01","COUNTERFEITING/FORGERY",346,0.222222222222222,533,0.953488372093023
"8","01","CURFEW/LOITERING/VAGRANCY VIOLATIONS",69,0.5390625,85,0.65891472868217
"9","01","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",7439,0.605880436553185,9144,0.954488517745303
"10","01","DRIVING UNDER THE INFLUENCE",2799,1,2638,0.971281296023564
"11","01","DRUG/NARCOTIC OFFENSES",2840,0.945720945720946,2893,1
"12","01","DRUNKENNESS",3,0.6,4,1
"13","01","EMBEZZLEMENT",113,0.169161676646707,211,0.972350230414747
"14","01","EXTORTION/BLACKMAIL",46,0.205357142857143,82,0.953488372093023
"15","01","FAMILY OFFENSES, NONVIOLENT",808,0.517285531370038,955,0.968559837728195
"16","01","FRAUD OFFENSES",3973,0.199588063900332,5727,1
"17","01","HOMICIDE OFFENSES",47,0.5875,53,1
"18","01","HUMAN TRAFFICKING",1,0.05,4,0.666666666666667
"19","01","KIDNAPPING/ABDUCTION",116,0.508771929824561,129,1
"20","01","LARCENY-THEFT",28539,0.588979465483438,34801,0.892447749711501
"21","01","LIQUOR LAW VIOLATIONS",251,0.817589576547231,257,0.904929577464789
"22","01","MOTOR VEHICLE THEFT",3373,0.455872415191242,5308,0.728520450178424
"23","01","PEEPING TOM",19,0.542857142857143,21,0.91304347826087
"24","01","PORNOGRAPHY/OBSCENE MATERIAL",22,0.176,46,1
"25","01","PROSTITUTION OFFENSES",217,0.342271293375394,295,0.508620689655172
"26","01","ROBBERY",2076,0.884156729131175,2168,1
"27","01","SEX OFFENSES",511,0.348329925017042,629,1
"28","01","SEX OFFENSES, CONSENSUAL",12,0.181818181818182,19,0.863636363636364
"29","01","STOLEN PROPERTY OFFENSES",636,0.803030303030303,589,0.967159277504105
"30","01","TRESPASS OF REAL PROPERTY",2866,0.785851384699753,3079,1
"31","01","WEAPON LAW VIOLATIONS",1087,0.943576388888889,1078,1
"32","02","ANIMAL CRUELTY",13,0.464285714285714,9,0.529411764705882
"33","02","ARSON",179,0.856459330143541,149,0.823204419889503
"34","02","ASSAULT OFFENSES",12792,0.707013762228486,14182,0.970041039671683
"35","02","BAD CHECKS",337,0.129069322098813,580,0.777479892761394
"36","02","BRIBERY",1,0.333333333333333,2,0.666666666666667
"37","02","BURGLARY/BREAKING&ENTERING",7885,0.480675445013411,9108,0.807375232692137
"38","02","COUNTERFEITING/FORGERY",334,0.21451509312781,464,0.83005366726297
"39","02","CURFEW/LOITERING/VAGRANCY VIOLATIONS",60,0.46875,46,0.356589147286822
"40","02","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",6963,0.567111907476788,8175,0.853340292275574
"41","02","DRIVING UNDER THE INFLUENCE",2709,0.967845659163987,2716,1
