"","MCPP","year","n"
"1","<Null>","2022",1
"2","ALASKA JUNCTION","2008",720
"3","ALASKA JUNCTION","2009",874
"4","ALASKA JUNCTION","2010",813
"5","ALASKA JUNCTION","2011",764
"6","ALASKA JUNCTION","2012",795
"7","ALASKA JUNCTION","2013",870
"8","ALASKA JUNCTION","2014",722
"9","ALASKA JUNCTION","2015",806
"10","ALASKA JUNCTION","2016",1086
"11","ALASKA JUNCTION","2017",1133
"12","ALASKA JUNCTION","2018",1114
"13","ALASKA JUNCTION","2019",1102
"14","ALASKA JUNCTION","2020",1249
"15","ALASKA JUNCTION","2021",1192
"16","ALASKA JUNCTION","2022",1377
"17","ALASKA JUNCTION","2023",146
"18","ALKI","2008",338
"19","ALKI","2009",374
"20","ALKI","2010",399
"21","ALKI","2011",315
"22","ALKI","2012",305
"23","ALKI","2013",357
"24","ALKI","2014",313
"25","ALKI","2015",309
"26","ALKI","2016",363
"27","ALKI","2017",399
"28","ALKI","2018",309
"29","ALKI","2019",297
"30","ALKI","2020",411
"31","ALKI","2021",360
"32","ALKI","2022",412
"33","ALKI","2023",29
"34","BALLARD NORTH","2008",1264
"35","BALLARD NORTH","2009",1480
"36","BALLARD NORTH","2010",1327
"37","BALLARD NORTH","2011",1251
"38","BALLARD NORTH","2012",1142
"39","BALLARD NORTH","2013",1258
"40","BALLARD NORTH","2014",1584
"41","BALLARD NORTH","2015",1536
"42","BALLARD NORTH","2016",1611
"43","BALLARD NORTH","2017",1408
"44","BALLARD NORTH","2018",1561
"45","BALLARD NORTH","2019",1466
"46","BALLARD NORTH","2020",1701
"47","BALLARD NORTH","2021",1224
"48","BALLARD NORTH","2022",1254
"49","BALLARD NORTH","2023",160
"50","BALLARD SOUTH","2008",1788
"51","BALLARD SOUTH","2009",1660
"52","BALLARD SOUTH","2010",1566
"53","BALLARD SOUTH","2011",1545
"54","BALLARD SOUTH","2012",1595
"55","BALLARD SOUTH","2013",1836
"56","BALLARD SOUTH","2014",1961
"57","BALLARD SOUTH","2015",2015
"58","BALLARD SOUTH","2016",2193
"59","BALLARD SOUTH","2017",2405
"60","BALLARD SOUTH","2018",2654
"61","BALLARD SOUTH","2019",2636
"62","BALLARD SOUTH","2020",3146
"63","BALLARD SOUTH","2021",2827
"64","BALLARD SOUTH","2022",2671
"65","BALLARD SOUTH","2023",282
"66","BELLTOWN","2008",2139
"67","BELLTOWN","2009",2105
"68","BELLTOWN","2010",2225
"69","BELLTOWN","2011",1749
"70","BELLTOWN","2012",1538
"71","BELLTOWN","2013",1711
"72","BELLTOWN","2014",2004
"73","BELLTOWN","2015",1744
"74","BELLTOWN","2016",1710
"75","BELLTOWN","2017",2208
"76","BELLTOWN","2018",1884
"77","BELLTOWN","2019",1777
"78","BELLTOWN","2020",1595
"79","BELLTOWN","2021",1694
"80","BELLTOWN","2022",1723
"81","BELLTOWN","2023",206
"82","BITTERLAKE","2008",1146
"83","BITTERLAKE","2009",1268
"84","BITTERLAKE","2010",1225
"85","BITTERLAKE","2011",1450
"86","BITTERLAKE","2012",1178
"87","BITTERLAKE","2013",1346
"88","BITTERLAKE","2014",1524
"89","BITTERLAKE","2015",1307
"90","BITTERLAKE","2016",1400
"91","BITTERLAKE","2017",1500
"92","BITTERLAKE","2018",1400
"93","BITTERLAKE","2019",1261
"94","BITTERLAKE","2020",1518
"95","BITTERLAKE","2021",1385
"96","BITTERLAKE","2022",1497
"97","BITTERLAKE","2023",190
"98","BRIGHTON/DUNLAP","2008",1395
"99","BRIGHTON/DUNLAP","2009",1210
"100","BRIGHTON/DUNLAP","2010",1116
"101","BRIGHTON/DUNLAP","2011",1011
"102","BRIGHTON/DUNLAP","2012",999
"103","BRIGHTON/DUNLAP","2013",1052
"104","BRIGHTON/DUNLAP","2014",1116
"105","BRIGHTON/DUNLAP","2015",898
"106","BRIGHTON/DUNLAP","2016",748
"107","BRIGHTON/DUNLAP","2017",863
"108","BRIGHTON/DUNLAP","2018",832
"109","BRIGHTON/DUNLAP","2019",797
"110","BRIGHTON/DUNLAP","2020",986
"111","BRIGHTON/DUNLAP","2021",835
"112","BRIGHTON/DUNLAP","2022",916
"113","BRIGHTON/DUNLAP","2023",98
"114","CAPITOL HILL","2008",3295
"115","CAPITOL HILL","2009",3526
"116","CAPITOL HILL","2010",3649
"117","CAPITOL HILL","2011",3248
"118","CAPITOL HILL","2012",3621
"119","CAPITOL HILL","2013",4092
"120","CAPITOL HILL","2014",4640
"121","CAPITOL HILL","2015",4635
"122","CAPITOL HILL","2016",4532
"123","CAPITOL HILL","2017",4786
"124","CAPITOL HILL","2018",4712
"125","CAPITOL HILL","2019",4323
"126","CAPITOL HILL","2020",4474
