"","MCPP","year","Offense.Parent.Group","n"
"1","<Null>","2022","BURGLARY/BREAKING&ENTERING",1
"2","ALASKA JUNCTION","","ASSAULT OFFENSES",3
"3","ALASKA JUNCTION","","BURGLARY/BREAKING&ENTERING",3
"4","ALASKA JUNCTION","","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",1
"5","ALASKA JUNCTION","","FRAUD OFFENSES",1
"6","ALASKA JUNCTION","","LARCENY-THEFT",8
"7","ALASKA JUNCTION","","MOTOR VEHICLE THEFT",2
"8","ALASKA JUNCTION","","SEX OFFENSES",2
"9","ALASKA JUNCTION","","TRESPASS OF REAL PROPERTY",1
"10","ALASKA JUNCTION","2000","ASSAULT OFFENSES",1
"11","ALASKA JUNCTION","2000","SEX OFFENSES",1
"12","ALASKA JUNCTION","2001","LARCENY-THEFT",1
"13","ALASKA JUNCTION","2002","MOTOR VEHICLE THEFT",1
"14","ALASKA JUNCTION","2003","FAMILY OFFENSES, NONVIOLENT",1
"15","ALASKA JUNCTION","2003","SEX OFFENSES",2
"16","ALASKA JUNCTION","2005","FAMILY OFFENSES, NONVIOLENT",1
"17","ALASKA JUNCTION","2005","LARCENY-THEFT",1
"18","ALASKA JUNCTION","2006","FRAUD OFFENSES",1
"19","ALASKA JUNCTION","2006","LARCENY-THEFT",1
"20","ALASKA JUNCTION","2007","ASSAULT OFFENSES",1
"21","ALASKA JUNCTION","2007","BURGLARY/BREAKING&ENTERING",1
"22","ALASKA JUNCTION","2007","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",2
"23","ALASKA JUNCTION","2007","EMBEZZLEMENT",2
"24","ALASKA JUNCTION","2007","FAMILY OFFENSES, NONVIOLENT",1
"25","ALASKA JUNCTION","2007","FRAUD OFFENSES",5
"26","ALASKA JUNCTION","2007","LARCENY-THEFT",3
"27","ALASKA JUNCTION","2007","MOTOR VEHICLE THEFT",1
"28","ALASKA JUNCTION","2008","ASSAULT OFFENSES",86
"29","ALASKA JUNCTION","2008","BAD CHECKS",9
"30","ALASKA JUNCTION","2008","BURGLARY/BREAKING&ENTERING",98
