"","year","MCPP","Offense.Parent.Group","n"
"1",2008,"ALASKA JUNCTION","ASSAULT OFFENSES",86
"2",2008,"ALASKA JUNCTION","BAD CHECKS",9
"3",2008,"ALASKA JUNCTION","BURGLARY/BREAKING&ENTERING",98
"4",2008,"ALASKA JUNCTION","COUNTERFEITING/FORGERY",4
"5",2008,"ALASKA JUNCTION","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",75
"6",2008,"ALASKA JUNCTION","DRIVING UNDER THE INFLUENCE",40
"7",2008,"ALASKA JUNCTION","DRUG/NARCOTIC OFFENSES",23
"8",2008,"ALASKA JUNCTION","EMBEZZLEMENT",4
"9",2008,"ALASKA JUNCTION","EXTORTION/BLACKMAIL",1
"10",2008,"ALASKA JUNCTION","FAMILY OFFENSES, NONVIOLENT",8
"11",2008,"ALASKA JUNCTION","FRAUD OFFENSES",41
"12",2008,"ALASKA JUNCTION","LARCENY-THEFT",233
"13",2008,"ALASKA JUNCTION","LIQUOR LAW VIOLATIONS",6
"14",2008,"ALASKA JUNCTION","MOTOR VEHICLE THEFT",49
"15",2008,"ALASKA JUNCTION","PEEPING TOM",1
"16",2008,"ALASKA JUNCTION","PROSTITUTION OFFENSES",2
"17",2008,"ALASKA JUNCTION","ROBBERY",13
"18",2008,"ALASKA JUNCTION","SEX OFFENSES",5
"19",2008,"ALASKA JUNCTION","STOLEN PROPERTY OFFENSES",4
"20",2008,"ALASKA JUNCTION","TRESPASS OF REAL PROPERTY",9
"21",2008,"ALASKA JUNCTION","WEAPON LAW VIOLATIONS",3
"22",2008,"ALKI","ASSAULT OFFENSES",46
"23",2008,"ALKI","BAD CHECKS",3
"24",2008,"ALKI","BURGLARY/BREAKING&ENTERING",49
"25",2008,"ALKI","COUNTERFEITING/FORGERY",1
"26",2008,"ALKI","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",40
"27",2008,"ALKI","DRIVING UNDER THE INFLUENCE",5
"28",2008,"ALKI","DRUG/NARCOTIC OFFENSES",3
"29",2008,"ALKI","FAMILY OFFENSES, NONVIOLENT",1
"30",2008,"ALKI","FRAUD OFFENSES",27
"31",2008,"ALKI","LARCENY-THEFT",127
"32",2008,"ALKI","LIQUOR LAW VIOLATIONS",3
"33",2008,"ALKI","MOTOR VEHICLE THEFT",19
"34",2008,"ALKI","ROBBERY",2
"35",2008,"ALKI","SEX OFFENSES",2
"36",2008,"ALKI","WEAPON LAW VIOLATIONS",8
"37",2008,"BALLARD NORTH","ARSON",3
"38",2008,"BALLARD NORTH","ASSAULT OFFENSES",145
"39",2008,"BALLARD NORTH","BAD CHECKS",17
"40",2008,"BALLARD NORTH","BURGLARY/BREAKING&ENTERING",161
"41",2008,"BALLARD NORTH","COUNTERFEITING/FORGERY",3
"42",2008,"BALLARD NORTH","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",169
"43",2008,"BALLARD NORTH","DRIVING UNDER THE INFLUENCE",14
"44",2008,"BALLARD NORTH","DRUG/NARCOTIC OFFENSES",13
"45",2008,"BALLARD NORTH","EMBEZZLEMENT",1
"46",2008,"BALLARD NORTH","FAMILY OFFENSES, NONVIOLENT",10
"47",2008,"BALLARD NORTH","FRAUD OFFENSES",75
"48",2008,"BALLARD NORTH","LARCENY-THEFT",498
"49",2008,"BALLARD NORTH","LIQUOR LAW VIOLATIONS",4
"50",2008,"BALLARD NORTH","MOTOR VEHICLE THEFT",104
"51",2008,"BALLARD NORTH","PORNOGRAPHY/OBSCENE MATERIAL",1
"52",2008,"BALLARD NORTH","PROSTITUTION OFFENSES",5
"53",2008,"BALLARD NORTH","ROBBERY",26
"54",2008,"BALLARD NORTH","SEX OFFENSES",4
"55",2008,"BALLARD NORTH","STOLEN PROPERTY OFFENSES",1
"56",2008,"BALLARD NORTH","TRESPASS OF REAL PROPERTY",5
"57",2008,"BALLARD NORTH","WEAPON LAW VIOLATIONS",4
"58",2008,"BALLARD SOUTH","ARSON",1
"59",2008,"BALLARD SOUTH","ASSAULT OFFENSES",193
"60",2008,"BALLARD SOUTH","BAD CHECKS",36
"61",2008,"BALLARD SOUTH","BURGLARY/BREAKING&ENTERING",175
"62",2008,"BALLARD SOUTH","COUNTERFEITING/FORGERY",10
"63",2008,"BALLARD SOUTH","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",196
"64",2008,"BALLARD SOUTH","DRIVING UNDER THE INFLUENCE",43
"65",2008,"BALLARD SOUTH","DRUG/NARCOTIC OFFENSES",29
"66",2008,"BALLARD SOUTH","EMBEZZLEMENT",9
"67",2008,"BALLARD SOUTH","FAMILY OFFENSES, NONVIOLENT",10
"68",2008,"BALLARD SOUTH","FRAUD OFFENSES",98
